"Name","STDOFF","Rule","Format","Year","Month","Day","Time","Comment"
"America/Argentina/Catamarca","-4:00","-","-04","1930","Dec",,,""
"America/Argentina/Catamarca","-4:00","Arg","-04/-03","1969","Oct","5",,""
"America/Argentina/Catamarca","-3:00","Arg","-03/-02","1991","Mar","3",,""
"America/Argentina/Catamarca","-4:00","-","-04","1991","Oct","20",,""
"America/Argentina/Catamarca","-3:00","Arg","-03/-02","1999","Oct","3",,""
"America/Argentina/Catamarca","-4:00","Arg","-04/-03","2000","Mar","3",,""
"America/Argentina/Catamarca","-3:00","-","-03","2004","Jun","1",,""
"America/Argentina/Catamarca","-4:00","-","-04","2004","Jun","20",,""
"America/Argentina/Catamarca","-3:00","Arg","-03/-02","2008","Oct","18",,""
"America/Argentina/Catamarca","-3:00","-","-03",,,,,""
"America/Argentina/Mendoza","-4:35:16","-","LMT","1894","Oct","31",,""
"America/Argentina/Mendoza","-4:16:48","-","CMT","1920","May",,,""
"America/Argentina/Mendoza","-4:00","-","-04","1930","Dec",,,""
"America/Argentina/Mendoza","-4:00","Arg","-04/-03","1969","Oct","5",,""
"America/Argentina/Mendoza","-3:00","Arg","-03/-02","1990","Mar","4",,""
"America/Argentina/Mendoza","-4:00","-","-04","1990","Oct","15",,""
"America/Argentina/Mendoza","-4:00","1:00","-03","1991","Mar","1",,""
"America/Argentina/Mendoza","-4:00","-","-04","1991","Oct","15",,""
"America/Argentina/Mendoza","-4:00","1:00","-03","1992","Mar","1",,""
"America/Argentina/Mendoza","-4:00","-","-04","1992","Oct","18",,""
"America/Argentina/Mendoza","-3:00","Arg","-03/-02","1999","Oct","3",,""
"America/Argentina/Mendoza","-4:00","Arg","-04/-03","2000","Mar","3",,""
"America/Argentina/Mendoza","-3:00","-","-03","2004","May","23",,""
"America/Argentina/Mendoza","-4:00","-","-04","2004","Sep","26",,""
"America/Argentina/Mendoza","-3:00","Arg","-03/-02","2008","Oct","18",,""
"America/Argentina/Mendoza","-3:00","-","-03",,,,,""
"America/Argentina/San_Luis","-4:25:24","-","LMT","1894","Oct","31",,""
"America/Argentina/San_Luis","-4:16:48","-","CMT","1920","May",,,""
"America/Argentina/San_Luis","-4:00","-","-04","1930","Dec",,,""
"America/Argentina/San_Luis","-4:00","Arg","-04/-03","1969","Oct","5",,""
"America/Argentina/San_Luis","-3:00","Arg","-03/-02","1990",,,,""
"America/Argentina/San_Luis","-3:00","1:00","-02","1990","Mar","14",,""
"America/Argentina/San_Luis","-4:00","-","-04","1990","Oct","15",,""
"America/Argentina/San_Luis","-4:00","1:00","-03","1991","Mar","1",,""
"America/Argentina/San_Luis","-4:00","-","-04","1991","Jun","1",,""
"America/Argentina/San_Luis","-3:00","-","-03","1999","Oct","3",,""
"America/Argentina/San_Luis","-4:00","1:00","-03","2000","Mar","3",,""
"America/Argentina/San_Luis","-3:00","-","-03","2004","May","31",,""
"America/Argentina/San_Luis","-4:00","-","-04","2004","Jul","25",,""
"America/Argentina/San_Luis","-3:00","Arg","-03/-02","2008","Jan","21",,""
"America/Argentina/San_Luis","-4:00","SanLuis","-04/-03","2009","Oct","11",,""
"America/Argentina/San_Luis","-3:00","-","-03",,,,,""
"America/Argentina/Rio_Gallegos","-4:36:52","-","LMT","1894","Oct","31",,""
"America/Argentina/Rio_Gallegos","-4:16:48","-","CMT","1920","May",,,""
"America/Argentina/Rio_Gallegos","-4:00","-","-04","1930","Dec",,,""
"America/Argentina/Rio_Gallegos","-4:00","Arg","-04/-03","1969","Oct","5",,""
"America/Argentina/Rio_Gallegos","-3:00","Arg","-03/-02","1999","Oct","3",,""
"America/Argentina/Rio_Gallegos","-4:00","Arg","-04/-03","2000","Mar","3",,""
"America/Argentina/Rio_Gallegos","-3:00","-","-03","2004","Jun","1",,""
"America/Argentina/Rio_Gallegos","-4:00","-","-04","2004","Jun","20",,""
"America/Argentina/Rio_Gallegos","-3:00","Arg","-03/-02","2008","Oct","18",,""
"America/Argentina/Rio_Gallegos","-3:00","-","-03",,,,,""
"America/Argentina/Ushuaia","-4:33:12","-","LMT","1894","Oct","31",,""
"America/Argentina/Ushuaia","-4:16:48","-","CMT","1920","May",,,""
"America/Argentina/Ushuaia","-4:00","-","-04","1930","Dec",,,""
"America/Argentina/Ushuaia","-4:00","Arg","-04/-03","1969","Oct","5",,""
"America/Argentina/Ushuaia","-3:00","Arg","-03/-02","1999","Oct","3",,""
"America/Argentina/Ushuaia","-4:00","Arg","-04/-03","2000","Mar","3",,""
"America/Argentina/Ushuaia","-3:00","-","-03","2004","May","30",,""
"America/Argentina/Ushuaia","-4:00","-","-04","2004","Jun","20",,""
"America/Argentina/Ushuaia","-3:00","Arg","-03/-02","2008","Oct","18",,""
"America/Argentina/Ushuaia","-3:00","-","-03",,,,,""
"America/La_Paz","-4:32:36","-","LMT","1890",,,,""
"America/La_Paz","-4:32:36","-","CMT","1931","Oct","15",,"Calamarca MT"
"America/La_Paz","-4:32:36","1:00","BST","1932","Mar","21",,"Bolivia ST"
"America/La_Paz","-4:00","-","-04",,,,,""
"America/Noronha","-2:09:40","-","LMT","1914",,,,""
"America/Noronha","-2:00","Brazil","-02/-01","1990","Sep","17",,""
"America/Noronha","-2:00","-","-02","1999","Sep","30",,""
"America/Noronha","-2:00","Brazil","-02/-01","2000","Oct","15",,""
"America/Noronha","-2:00","-","-02","2001","Sep","13",,""
"America/Noronha","-2:00","Brazil","-02/-01","2002","Oct","1",,""
"America/Noronha","-2:00","-","-02",,,,,""
"America/Belem","-3:13:56","-","LMT","1914",,,,""
"America/Belem","-3:00","Brazil","-03/-02","1988","Sep","12",,""
"America/Belem","-3:00","-","-03",,,,,""
"America/Santarem","-3:38:48","-","LMT","1914",,,,""
"America/Santarem","-4:00","Brazil","-04/-03","1988","Sep","12",,""
"America/Santarem","-4:00","-","-04","2008","Jun","24","0:00",""
"America/Santarem","-3:00","-","-03",,,,,""
"America/Fortaleza","-2:34:00","-","LMT","1914",,,,""
"America/Fortaleza","-3:00","Brazil","-03/-02","1990","Sep","17",,""
"America/Fortaleza","-3:00","-","-03","1999","Sep","30",,""
"America/Fortaleza","-3:00","Brazil","-03/-02","2000","Oct","22",,""
"America/Fortaleza","-3:00","-","-03","2001","Sep","13",,""
"America/Fortaleza","-3:00","Brazil","-03/-02","2002","Oct","1",,""
"America/Fortaleza","-3:00","-","-03",,,,,""
"America/Recife","-2:19:36","-","LMT","1914",,,,""
"America/Recife","-3:00","Brazil","-03/-02","1990","Sep","17",,""
"America/Recife","-3:00","-","-03","1999","Sep","30",,""
"America/Recife","-3:00","Brazil","-03/-02","2000","Oct","15",,""
"America/Recife","-3:00","-","-03","2001","Sep","13",,""
"America/Recife","-3:00","Brazil","-03/-02","2002","Oct","1",,""
"America/Recife","-3:00","-","-03",,,,,""
"America/Araguaina","-3:12:48","-","LMT","1914",,,,""
"America/Araguaina","-3:00","Brazil","-03/-02","1990","Sep","17",,""
"America/Araguaina","-3:00","-","-03","1995","Sep","14",,""
"America/Araguaina","-3:00","Brazil","-03/-02","2003","Sep","24",,""
"America/Araguaina","-3:00","-","-03","2012","Oct","21",,""
"America/Araguaina","-3:00","Brazil","-03/-02","2013","Sep",,,""
"America/Araguaina","-3:00","-","-03",,,,,""
"America/Maceio","-2:22:52","-","LMT","1914",,,,""
"America/Maceio","-3:00","Brazil","-03/-02","1990","Sep","17",,""
"America/Maceio","-3:00","-","-03","1995","Oct","13",,""
"America/Maceio","-3:00","Brazil","-03/-02","1996","Sep","4",,""
"America/Maceio","-3:00","-","-03","1999","Sep","30",,""
"America/Maceio","-3:00","Brazil","-03/-02","2000","Oct","22",,""
"America/Maceio","-3:00","-","-03","2001","Sep","13",,""
"America/Maceio","-3:00","Brazil","-03/-02","2002","Oct","1",,""
"America/Maceio","-3:00","-","-03",,,,,""
"America/Bahia","-2:34:04","-","LMT","1914",,,,""
"America/Bahia","-3:00","Brazil","-03/-02","2003","Sep","24",,""
"America/Bahia","-3:00","-","-03","2011","Oct","16",,""
"America/Bahia","-3:00","Brazil","-03/-02","2012","Oct","21",,""
"America/Bahia","-3:00","-","-03",,,,,""
"America/Sao_Paulo","-3:06:28","-","LMT","1914",,,,""
"America/Sao_Paulo","-3:00","Brazil","-03/-02","1963","Oct","23","0:00",""
"America/Sao_Paulo","-3:00","1:00","-02","1964",,,,""
"America/Sao_Paulo","-3:00","Brazil","-03/-02",,,,,""
"America/Campo_Grande","-3:38:28","-","LMT","1914",,,,""
"America/Campo_Grande","-4:00","Brazil","-04/-03",,,,,""
"America/Cuiaba","-3:44:20","-","LMT","1914",,,,""
"America/Cuiaba","-4:00","Brazil","-04/-03","2003","Sep","24",,""
"America/Cuiaba","-4:00","-","-04","2004","Oct","1",,""
"America/Cuiaba","-4:00","Brazil","-04/-03",,,,,""
"America/Porto_Velho","-4:15:36","-","LMT","1914",,,,""
"America/Porto_Velho","-4:00","Brazil","-04/-03","1988","Sep","12",,""
"America/Porto_Velho","-4:00","-","-04",,,,,""
"America/Boa_Vista","-4:02:40","-","LMT","1914",,,,""
"America/Boa_Vista","-4:00","Brazil","-04/-03","1988","Sep","12",,""
"America/Boa_Vista","-4:00","-","-04","1999","Sep","30",,""
"America/Boa_Vista","-4:00","Brazil","-04/-03","2000","Oct","15",,""
"America/Boa_Vista","-4:00","-","-04",,,,,""
"America/Manaus","-4:00:04","-","LMT","1914",,,,""
"America/Manaus","-4:00","Brazil","-04/-03","1988","Sep","12",,""
"America/Manaus","-4:00","-","-04","1993","Sep","28",,""
"America/Manaus","-4:00","Brazil","-04/-03","1994","Sep","22",,""
"America/Manaus","-4:00","-","-04",,,,,""
"America/Eirunepe","-4:39:28","-","LMT","1914",,,,""
"America/Eirunepe","-5:00","Brazil","-05/-04","1988","Sep","12",,""
"America/Eirunepe","-5:00","-","-05","1993","Sep","28",,""
"America/Eirunepe","-5:00","Brazil","-05/-04","1994","Sep","22",,""
"America/Eirunepe","-5:00","-","-05","2008","Jun","24","0:00",""
"America/Eirunepe","-4:00","-","-04","2013","Nov","10",,""
"America/Eirunepe","-5:00","-","-05",,,,,""
"America/Rio_Branco","-4:31:12","-","LMT","1914",,,,""
"America/Rio_Branco","-5:00","Brazil","-05/-04","1988","Sep","12",,""
"America/Rio_Branco","-5:00","-","-05","2008","Jun","24","0:00",""
"America/Rio_Branco","-4:00","-","-04","2013","Nov","10",,""
"America/Rio_Branco","-5:00","-","-05",,,,,""
"America/Santiago","-4:42:45","-","LMT","1890",,,,""
"America/Santiago","-4:42:45","-","SMT","1910","Jan","10",,"Santiago Mean Time"
"America/Santiago","-5:00","-","-05","1916","Jul","1",,""
"America/Santiago","-4:42:45","-","SMT","1918","Sep","10",,""
"America/Santiago","-4:00","-","-04","1919","Jul","1",,""
"America/Santiago","-4:42:45","-","SMT","1927","Sep","1",,""
"America/Santiago","-5:00","Chile","-05/-04","1932","Sep","1",,""
"America/Santiago","-4:00","-","-04","1942","Jun","1",,""
"America/Santiago","-5:00","-","-05","1942","Aug","1",,""
"America/Santiago","-4:00","-","-04","1946","Jul","14","24:00",""
"America/Santiago","-4:00","1:00","-03","1946","Aug","28","24:00","central CL"
"America/Santiago","-5:00","1:00","-04","1947","Mar","31","24:00",""
"America/Santiago","-5:00","-","-05","1947","May","21","23:00",""
"America/Santiago","-4:00","Chile","-04/-03",,,,,""
"America/Punta_Arenas","-4:43:40","-","LMT","1890",,,,""
"America/Punta_Arenas","-4:42:45","-","SMT","1910","Jan","10",,""
"America/Punta_Arenas","-5:00","-","-05","1916","Jul","1",,""
"America/Punta_Arenas","-4:42:45","-","SMT","1918","Sep","10",,""
"America/Punta_Arenas","-4:00","-","-04","1919","Jul","1",,""
"America/Punta_Arenas","-4:42:45","-","SMT","1927","Sep","1",,""
"America/Punta_Arenas","-5:00","Chile","-05/-04","1932","Sep","1",,""
"America/Punta_Arenas","-4:00","-","-04","1942","Jun","1",,""
"America/Punta_Arenas","-5:00","-","-05","1942","Aug","1",,""
"America/Punta_Arenas","-4:00","-","-04","1946","Aug","28","24:00",""
"America/Punta_Arenas","-5:00","1:00","-04","1947","Mar","31","24:00",""
"America/Punta_Arenas","-5:00","-","-05","1947","May","21","23:00",""
"America/Punta_Arenas","-4:00","Chile","-04/-03","2016","Dec","4",,""
"America/Punta_Arenas","-3:00","-","-03",,,,,""
"Pacific/Easter","-7:17:28","-","LMT","1890",,,,""
"Pacific/Easter","-7:17:28","-","EMT","1932","Sep",,,"Easter Mean Time"
"Pacific/Easter","-7:00","Chile","-07/-06","1982","Mar","14","3:00u","Easter Time"
"Pacific/Easter","-6:00","Chile","-06/-05",,,,,""
"Antarctica/Palmer","0","-","-00","1965",,,,""
"Antarctica/Palmer","-4:00","Arg","-04/-03","1969","Oct","5",,""
"Antarctica/Palmer","-3:00","Arg","-03/-02","1982","May",,,""
"Antarctica/Palmer","-4:00","Chile","-04/-03","2016","Dec","4",,""
"Antarctica/Palmer","-3:00","-","-03",,,,,""
"America/Bogota","-4:56:16","-","LMT","1884","Mar","13",,""
"America/Bogota","-4:56:16","-","BMT","1914","Nov","23",,"Bogot?? Mean Time"
"America/Bogota","-5:00","CO","-05/-04",,,,,""
"America/Guayaquil","-5:19:20","-","LMT","1890",,,,""
"America/Guayaquil","-5:14:00","-","QMT","1931",,,,"Quito Mean Time"
"America/Guayaquil","-5:00","Ecuador","-05/-04",,,,,""
"Pacific/Galapagos","-5:58:24","-","LMT","1931",,,,"Puerto Baquerizo Moreno"
"Pacific/Galapagos","-5:00","-","-05","1986",,,,""
"Pacific/Galapagos","-6:00","Ecuador","-06/-05",,,,,""
"Atlantic/Stanley","-3:51:24","-","LMT","1890",,,,""
"Atlantic/Stanley","-3:51:24","-","SMT","1912","Mar","12",,"Stanley Mean Time"
"Atlantic/Stanley","-4:00","Falk","-04/-03","1983","May",,,""
"Atlantic/Stanley","-3:00","Falk","-03/-02","1985","Sep","15",,""
"Atlantic/Stanley","-4:00","Falk","-04/-03","2010","Sep","5","2:00",""
"Atlantic/Stanley","-3:00","-","-03",,,,,""
"America/Cayenne","-3:29:20","-","LMT","1911","Jul","1",,""
"America/Cayenne","-4:00","-","-04","1967","Oct",,,""
"America/Cayenne","-3:00","-","-03",,,,,""
"America/Guyana","-3:52:39","-","LMT","1911","Aug","1",,"Georgetown"
"America/Guyana","-4:00","-","-04","1915","Mar","1",,""
"America/Guyana","-3:45","-","-0345","1975","Aug","1",,""
"America/Guyana","-3:00","-","-03","1992","Mar","29","1:00",""
"America/Guyana","-4:00","-","-04",,,,,""
"America/Asuncion","-3:50:40","-","LMT","1890",,,,""
"America/Asuncion","-3:50:40","-","AMT","1931","Oct","10",,"Asunci??n Mean Time"
"America/Asuncion","-4:00","-","-04","1972","Oct",,,""
"America/Asuncion","-3:00","-","-03","1974","Apr",,,""
"America/Asuncion","-4:00","Para","-04/-03",,,,,""
"America/Lima","-5:08:12","-","LMT","1890",,,,""
"America/Lima","-5:08:36","-","LMT","1908","Jul","28",,"Lima Mean Time?"
"America/Lima","-5:00","Peru","-05/-04",,,,,""
"Atlantic/South_Georgia","-2:26:08","-","LMT","1890",,,,"Grytviken"
"Atlantic/South_Georgia","-2:00","-","-02",,,,,""
"America/Paramaribo","-3:40:40","-","LMT","1911",,,,""
"America/Paramaribo","-3:40:52","-","PMT","1935",,,,"Paramaribo Mean Time"
"America/Paramaribo","-3:40:36","-","PMT","1945","Oct",,,"The capital moved?"
"America/Paramaribo","-3:30","-","-0330","1984","Oct",,,""
"America/Paramaribo","-3:00","-","-03",,,,,""
"America/Montevideo","-3:44:51","-","LMT","1908","Jun","10",,""
"America/Montevideo","-3:44:51","-","MMT","1920","May","1",,"Montevideo MT"
"America/Montevideo","-4:00","-","-04","1923","Oct","1",,""
"America/Montevideo","-3:30","Uruguay","-0330/-03","1942","Dec","14",,""
"America/Montevideo","-3:00","Uruguay","-03/-0230","1960",,,,""
"America/Montevideo","-3:00","Uruguay","-03/-02","1968",,,,""
"America/Montevideo","-3:00","Uruguay","-03/-0230","1970",,,,""
"America/Montevideo","-3:00","Uruguay","-03/-02","1974",,,,""
"America/Montevideo","-3:00","Uruguay","-03/-0130","1974","Mar","10",,""
"America/Montevideo","-3:00","Uruguay","-03/-0230","1974","Dec","22",,""
"America/Montevideo","-3:00","Uruguay","-03/-02",,,,,""
"America/Caracas","-4:27:44","-","LMT","1890",,,,""
"America/Caracas","-4:27:40","-","CMT","1912","Feb","12",,"Caracas Mean Time?"
"America/Caracas","-4:30","-","-0430","1965","Jan","1","0:00",""
"America/Caracas","-4:00","-","-04","2007","Dec","9","3:00",""
"America/Caracas","-4:30","-","-0430","2016","May","1","2:30",""
"America/Caracas","-4:00","-","-04",,,,,""
